schema_version,sample_id,source_relpath,camera_angle,captured_at_local,capture_date,session_id,sequence_no,split,label,defect_type,width,height,channels,source_sha256,quality_flags,notes
1.0,G03-260201-115803-681,G03-260201-115803-681.bmp,G03,2026-02-01T11:58:03,2026-02-01,G03_2026-02-01,681,train,normal,,1025,1281,1,0a86fbaecdc29fe5561722f7d7edee8cde57d97e669e5abca0c6420f2ebdd285,,
1.0,G03-260201-115814-682,G03-260201-115814-682.bmp,G03,2026-02-01T11:58:14,2026-02-01,G03_2026-02-01,682,train,normal,,1025,1281,1,429a267a55cd6b8588433bbcf81248b9eae6b2919b5bdd0c24fa643fba0308de,,
1.0,G03-260201-115821-683,G03-260201-115821-683.bmp,G03,2026-02-01T11:58:21,2026-02-01,G03_2026-02-01,683,train,normal,,1025,1281,1,bf9e27452727f99bd77c06504fbd8583962a8e1a2c2f7e2db9c6adba50eebb0a,,
1.0,G03-260201-115827-684,G03-260201-115827-684.bmp,G03,2026-02-01T11:58:27,2026-02-01,G03_2026-02-01,684,train,normal,,1025,1281,1,d8ad899403002b4de49e12fd37131bbf92c946328692586a751c7f56682b08f7,,
1.0,G03-260201-115848-685,G03-260201-115848-685.bmp,G03,2026-02-01T11:58:48,2026-02-01,G03_2026-02-01,685,train,normal,,1025,1281,1,95207dfc833e8e9f4e6a460009cef07825557cc228732596261711978794f1ea,,
1.0,G03-260201-115919-686,G03-260201-115919-686.bmp,G03,2026-02-01T11:59:19,2026-02-01,G03_2026-02-01,686,train,normal,,1025,1281,1,22bc02a6acf855e9f2a898adf15a280e75967fd5a54e66be46c27d73416eb25a,,
1.0,G03-260201-115925-687,G03-260201-115925-687.bmp,G03,2026-02-01T11:59:25,2026-02-01,G03_2026-02-01,687,train,normal,,1025,1281,1,0cb4ba835cbaf6372bf3e5b4085fa9a3ab775b4124dcd46690647e245322d991,,
1.0,G03-260201-115949-688,G03-260201-115949-688.bmp,G03,2026-02-01T11:59:49,2026-02-01,G03_2026-02-01,688,train,normal,,1025,1281,1,1c7ab9e6787c9d135768316b8d11b7cae0c6ec287483f7b288766cc9faed1327,,
1.0,G03-260201-115955-689,G03-260201-115955-689.bmp,G03,2026-02-01T11:59:55,2026-02-01,G03_2026-02-01,689,train,normal,,1025,1281,1,ed81a6847d104150eb4b911eeb25feab2bfe0aa8efa3dcc7567edea87a20a12c,,
1.0,G03-260201-120020-690,G03-260201-120020-690.bmp,G03,2026-02-01T12:00:20,2026-02-01,G03_2026-02-01,690,train,normal,,1025,1281,1,79c55f6d3ed95f24d5564f6cd5c403edfb7f29de7b65fe244d342d007d760ac3,,
1.0,G03-260201-120027-691,G03-260201-120027-691.bmp,G03,2026-02-01T12:00:27,2026-02-01,G03_2026-02-01,691,train,normal,,1025,1281,1,8e597c3f739779ae285fd5236b909fca352acd7bb36bda6e771f5a0856fa9a9b,,
